type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,STA,94:B9:7E:DA:A2:81,-33,11,1,3,1,1,1,1,0,0,0,-93,5,6,1,1279148,0,110,0,0,1.45447,384,[110 96 6 0 0 0 0 0 0 0 0 0 25 8 23 9 25 10 24 12 24 12 21 12 21 13 21 13 20 14 21 14 21 15 21 15 20 15 20 16 17 16 20 16 17 14 17 15 17 14 16 15 16 15 17 15 15 14 16 13 18 15 17 12 0 0 17 13 17 13 17 12 17 11 16 12 17 11 17 12 16 10 18 11 17 8 18 8 17 9 18 9 18 8 18 8 18 7 20 8 18 6 18 6 18 5 19 7 19 7 19 6 20 4 19 6 18 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:DA:A2:81,-33,11,1,3,1,1,1,1,0,0,0,-93,5,6,1,1279148,0,110,0,0,1.4606,384,[110 96 6 0 0 0 0 0 0 0 0 0 25 8 23 9 25 10 24 12 24 12 21 12 21 13 21 13 20 14 21 14 21 15 21 15 20 15 20 16 17 16 20 16 17 14 17 15 17 14 16 15 16 15 17 15 15 14 16 13 18 15 17 12 0 0 17 13 17 13 17 12 17 11 16 12 17 11 17 12 16 10 18 11 17 8 18 8 17 9 18 9 18 8 18 8 18 7 20 8 18 6 18 6 18 5 19 7 19 7 19 6 20 4 19 6 18 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:DA:A2:81,-33,11,1,3,1,1,1,1,0,0,0,-93,5,6,1,1279148,0,110,0,0,1.46621,384,[110 96 6 0 0 0 0 0 0 0 0 0 25 8 23 9 25 10 24 12 24 12 21 12 21 13 21 13 20 14 21 14 21 15 21 15 20 15 20 16 17 16 20 16 17 14 17 15 17 14 16 15 16 15 17 15 15 14 16 13 18 15 17 12 0 0 17 13 17 13 17 12 17 11 16 12 17 11 17 12 16 10 18 11 17 8 18 8 17 9 18 9 18 8 18 8 18 7 20 8 18 6 18 6 18 5 19 7 19 7 19 6 20 4 19 6 18 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:DA:A2:81,-33,11,1,3,1,1,1,1,0,0,0,-93,5,6,1,1279148,0,110,0,0,1.47181,384,[110 96 6 0 0 0 0 0 0 0 0 0 25 8 23 9 25 10 24 12 24 12 21 12 21 13 21 13 20 14 21 14 21 15 21 15 20 15 20 16 17 16 20 16 17 14 17 15 17 14 16 15 16 15 17 15 15 14 16 13 18 15 17 12 0 0 17 13 17 13 17 12 17 11 16 12 17 11 17 12 16 10 18 11 17 8 18 8 17 9 18 9 18 8 18 8 18 7 20 8 18 6 18 6 18 5 19 7 19 7 19 6 20 4 19 6 18 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:DA:A2:81,-33,11,1,3,1,1,1,1,0,0,0,-93,5,6,1,1279148,0,110,0,0,1.47743,384,[110 96 6 0 0 0 0 0 0 0 0 0 25 8 23 9 25 10 24 12 24 12 21 12 21 13 21 13 20 14 21 14 21 15 21 15 20 15 20 16 17 16 20 16 17 14 17 15 17 14 16 15 16 15 17 15 15 14 16 13 18 15 17 12 0 0 17 13 17 13 17 12 17 11 16 12 17 11 17 12 16 10 18 11 17 8 18 8 17 9 18 9 18 8 18 8 18 7 20 8 18 6 18 6 18 5 19 7 19 7 19 6 20 4 19 6 18 4 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:DA:A2:81,-33,11,1,4,1,1,1,1,0,0,0,-93,3,6,1,1379305,0,110,0,0,1.55543,384,[110 96 6 0 0 0 0 0 0 0 0 0 7 24 6 23 7 24 5 26 5 25 3 23 3 24 2 24 2 24 1 24 0 25 0 25 0 24 0 24 -1 23 1 24 -1 22 0 22 0 21 0 21 -1 21 0 22 -2 20 0 20 0 22 1 20 0 0 1 20 2 20 2 20 3 20 2 19 3 19 3 20 3 18 4 19 5 18 5 19 4 18 6 18 6 17 6 18 7 18 7 19 7 16 8 17 8 16 8 17 8 17 9 17 10 16 8 18 9 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:DA:A2:81,-33,11,1,4,1,1,1,1,0,0,0,-93,3,6,1,1379305,0,110,0,0,1.56126,384,[110 96 6 0 0 0 0 0 0 0 0 0 7 24 6 23 7 24 5 26 5 25 3 23 3 24 2 24 2 24 1 24 0 25 0 25 0 24 0 24 -1 23 1 24 -1 22 0 22 0 21 0 21 -1 21 0 22 -2 20 0 20 0 22 1 20 0 0 1 20 2 20 2 20 3 20 2 19 3 19 3 20 3 18 4 19 5 18 5 19 4 18 6 18 6 17 6 18 7 18 7 19 7 16 8 17 8 16 8 17 8 17 9 17 10 16 8 18 9 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:DA:A2:81,-33,11,1,4,1,1,1,1,0,0,0,-93,3,6,1,1379305,0,110,0,0,1.56655,384,[110 96 6 0 0 0 0 0 0 0 0 0 7 24 6 23 7 24 5 26 5 25 3 23 3 24 2 24 2 24 1 24 0 25 0 25 0 24 0 24 -1 23 1 24 -1 22 0 22 0 21 0 21 -1 21 0 22 -2 20 0 20 0 22 1 20 0 0 1 20 2 20 2 20 3 20 2 19 3 19 3 20 3 18 4 19 5 18 5 19 4 18 6 18 6 17 6 18 7 18 7 19 7 16 8 17 8 16 8 17 8 17 9 17 10 16 8 18 9 16 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:DA:A2:81,-32,11,1,4,1,1,1,1,0,0,0,-93,4,6,1,1386433,0,110,0,0,1.5719,384,[110 96 6 0 0 0 0 0 0 0 0 0 22 10 21 10 23 11 22 13 22 13 19 12 20 13 19 13 19 14 18 15 18 16 18 16 17 16 17 17 15 16 18 17 15 15 15 15 15 14 14 15 14 15 15 15 13 15 14 14 15 16 15 13 0 0 15 13 16 13 16 12 16 11 14 12 16 11 15 12 15 10 16 10 16 9 17 9 16 10 17 9 17 8 17 9 17 7 19 8 17 6 17 6 17 5 18 7 18 7 19 7 18 5 18 7 17 5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,STA,94:B9:7E:DA:A2:81,-32,11,1,4,1,1,1,1,0,0,0,-93,4,6,1,1386433,0,110,0,0,1.57779,384,[110 96 6 0 0 0 0 0 0 0 0 0 22 10 21 10 23 11 22 13 22 13 19 12 20 13 19 13 19 14 18 15 18 16 18 16 17 16 17 17 15 16 18 17 15 15 15 15 15 14 14 15 14 15 15 15 13 15 14 14 15 16 15 13 0 0 15 13 16 13 16 12 16 11 14 12 16 11 15 12 15 10 16 10 16 9 17 9 16 10 17 9 17 8 17 9 17 7 19 8 17 6 17 6 17 5 18 7 18 7 19 7 18 5 18 7 17 5 0 0 0 0 0 0 0 0 0 0 ]
